id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1212884850635526145,1212884850635526145,1578009257000,2020-01-03,09:54:17,AEST,1057026851183374336,willanders8,Will,,#greensfire #abcfire #laborfire https://twitter.com/goodfoodgal/status/1212571054213881857 …,[],['https://twitter.com/goodfoodgal/status/1212571054213881857'],[],0,0,0,"['#greensfire', '#abcfire', '#laborfire']",[],https://twitter.com/WillAnders8/status/1212884850635526145,False,https://twitter.com/goodfoodgal/status/1212571054213881857,0,,,,,,,"[{'user_id': '1057026851183374336', 'username': 'WillAnders8'}]",,,,
1212876131012997120,1212876131012997120,1578007178000,2020-01-03,09:19:38,AEST,888581320225378304,dr_camouflage_,Dr Camouflage Man (Its cold out there),,"@DanielAndrewsMP 

Don't forget who Andrews panders too. The @Greens 

Andrews has pandered to the greens his entire time as Vic premiere.
 #greensfire
#AustraliaBurning https://twitter.com/CommissionerEMV/status/1212837673414430720?s=19 …","['danielandrewsmp', 'greens']",['https://twitter.com/CommissionerEMV/status/1212837673414430720?s=19'],[],0,2,1,"['#greensfire', '#australiaburning']",[],https://twitter.com/Dr_Camouflage_/status/1212876131012997120,False,https://twitter.com/CommissionerEMV/status/1212837673414430720,0,,,,,,,"[{'user_id': '888581320225378304', 'username': 'Dr_Camouflage_'}, {'user_id': '228535666', 'username': 'DanielAndrewsMP'}, {'user_id': '7900732', 'username': 'Greens'}]",,,,
1212857169156001793,1212857169156001793,1578002657000,2020-01-03,08:04:17,AEST,1011026495500738561,peter90666913,Peter,,Got to love this - the media mercilessly blame ⁦@ScottMorrisonMP⁩ for everything to do with the #greensfire when in reality it is nothing to do with him - brainwash people into getting angry and then report it as if they are innocent #auspol https://www.smh.com.au/national/people-are-looking-for-someone-to-blame-and-right-now-the-pm-s-their-sights-20200102-p53obw.html …,['scottmorrisonmp'],['https://www.smh.com.au/national/people-are-looking-for-someone-to-blame-and-right-now-the-pm-s-their-sights-20200102-p53obw.html'],[],36,66,187,"['#greensfire', '#auspol']",[],https://twitter.com/Peter90666913/status/1212857169156001793,False,,0,,,,,,,"[{'user_id': '1011026495500738561', 'username': 'Peter90666913'}, {'user_id': '34116377', 'username': 'ScottMorrisonMP'}]",,,,
1212832980701335552,1212820573270630400,1577996890000,2020-01-03,06:28:10,AEST,386196459,safe1970,SAFE 🇦🇺,,We all know that the #greensfire was caused by the #ArsonEmergency,['labor_trash'],[],[],1,0,6,"['#greensfire', '#arsonemergency']",[],https://twitter.com/safe1970/status/1212832980701335552,False,,0,,,,,,,"[{'user_id': '386196459', 'username': 'safe1970'}, {'user_id': '228924029', 'username': 'labor_trash'}]",,,,
1212724941298139136,1212722073702789120,1577971132000,2020-01-02,23:18:52,AEST,1212715046138044416,bubbleperson1,Bubble Person,,And we need to wipe the Greens out whilst we're at it... #greensfire #twitterbubble pic.twitter.com/nyzLkrlWXW,['falloftheliving'],[],['https://pbs.twimg.com/media/ENR24ZIUUAAwhxh.jpg'],0,0,0,"['#greensfire', '#twitterbubble']",[],https://twitter.com/BubblePerson1/status/1212724941298139136,False,,0,,,,,,,"[{'user_id': '1212715046138044416', 'username': 'BubblePerson1'}, {'user_id': '378054418', 'username': 'FallOfTheLiving'}]",,,,
1212724566113435648,1212722422689890304,1577971042000,2020-01-02,23:17:22,AEST,1212715046138044416,bubbleperson1,Bubble Person,,And we need to jail all the Greens as well...  #greensfire #twitterbubble pic.twitter.com/IDf0AeDJo7,['monkacunt'],[],['https://pbs.twimg.com/media/ENR2ih7UcAESgx9.jpg'],0,1,1,"['#greensfire', '#twitterbubble']",[],https://twitter.com/BubblePerson1/status/1212724566113435648,False,,0,,,,,,,"[{'user_id': '1212715046138044416', 'username': 'BubblePerson1'}, {'user_id': '1201852305185722369', 'username': 'monkacunt'}]",,,,
1212724190756757504,1212723278432722944,1577970953000,2020-01-02,23:15:53,AEST,1212715046138044416,bubbleperson1,Bubble Person,,And let's not forget the role of the Greens in this national disaster....  #greensfire #twitterbubble pic.twitter.com/kAPBfDL8wh,"['ausoxymoron', 'scottmorrisonmp']",[],['https://pbs.twimg.com/media/ENR2MqmVUAAsptl.jpg'],0,0,0,"['#greensfire', '#twitterbubble']",[],https://twitter.com/BubblePerson1/status/1212724190756757504,False,,0,,,,,,,"[{'user_id': '1212715046138044416', 'username': 'BubblePerson1'}, {'user_id': '832117335313911808', 'username': 'ausoxymoron'}, {'user_id': '34116377', 'username': 'ScottMorrisonMP'}]",,,,
1212723048777781248,1212721306363260931,1577970680000,2020-01-02,23:11:20,AEST,1212715046138044416,bubbleperson1,Bubble Person,,And let's not forget all the other pollies that have blood on their hands....  #greensfire #twitterbubble pic.twitter.com/AExknEAIaq,['chef09876'],[],['https://pbs.twimg.com/media/ENR1JkmUYAgZlQ3.jpg'],1,0,0,"['#greensfire', '#twitterbubble']",[],https://twitter.com/BubblePerson1/status/1212723048777781248,False,,0,,,,,,,"[{'user_id': '1212715046138044416', 'username': 'BubblePerson1'}, {'user_id': '535267863', 'username': 'chef09876'}]",,,,
1212674302123765761,1212120932237664258,1577959058000,2020-01-02,19:57:38,AEST,888581320225378304,dr_camouflage_,Dr Camouflage Man (Its cold out there),,Im going through phases. This lot have achieved what they wanted. They have successfully devided Australia. This time they wont get away with the rott their pushing and I think they know it. #greensfire,"['i_say_toad', 'offgridbear', 'david13353252', 'goyoubays', 'voodoo_pork']",[],[],1,0,2,['#greensfire'],[],https://twitter.com/Dr_Camouflage_/status/1212674302123765761,False,,0,,,,,,,"[{'user_id': '888581320225378304', 'username': 'Dr_Camouflage_'}, {'user_id': '1059299800162521089', 'username': 'I_say_Toad'}, {'user_id': '1075274860966760448', 'username': 'offgridbear'}, {'user_id': '1002522913235300352', 'username': 'David13353252'}, {'user_id': '170632886', 'username': 'Goyoubays'}, {'user_id': '308901507', 'username': 'Voodoo_Pork'}]",,,,
1212669592092307457,1212120932237664258,1577957935000,2020-01-02,19:38:55,AEST,888581320225378304,dr_camouflage_,Dr Camouflage Man (Its cold out there),,#greensfire,"['boumj005', 'voodoo_pork']",[],[],1,0,0,['#greensfire'],[],https://twitter.com/Dr_Camouflage_/status/1212669592092307457,False,,0,,,,,,,"[{'user_id': '888581320225378304', 'username': 'Dr_Camouflage_'}, {'user_id': '50854442', 'username': 'boumj005'}, {'user_id': '308901507', 'username': 'Voodoo_Pork'}]",,,,
1212668514999455744,1212668514999455744,1577957678000,2020-01-02,19:34:38,AEST,1200937445501456384,scott48816571,Scott,,#greensfire #bushfiresAustralia #ClimateEmegency https://twitter.com/peter90666913/status/1212626635184164864 …,[],['https://twitter.com/peter90666913/status/1212626635184164864'],[],0,0,1,"['#greensfire', '#bushfiresaustralia', '#climateemegency']",[],https://twitter.com/Scott48816571/status/1212668514999455744,False,https://twitter.com/Peter90666913/status/1212626635184164864,0,,,,,,,"[{'user_id': '1200937445501456384', 'username': 'Scott48816571'}]",,,,
1212667956817055744,1212120932237664258,1577957545000,2020-01-02,19:32:25,AEST,888581320225378304,dr_camouflage_,Dr Camouflage Man (Its cold out there),,#greensfire,['voodoo_pork'],[],[],1,0,0,['#greensfire'],[],https://twitter.com/Dr_Camouflage_/status/1212667956817055744,False,,0,,,,,,,"[{'user_id': '888581320225378304', 'username': 'Dr_Camouflage_'}, {'user_id': '308901507', 'username': 'Voodoo_Pork'}]",,,,
